110.73,293.38,218.5,110.1
111.43,292.92,218.95,109.57
111.64,292.46,219.23,108.58
112.6,292.38,219.06,108.63
112.86,293.09,219.32,108.62
113.2,292.92,219.91,107.93
113.25,292.95,221.36,107.88
113.06,292.8,221.73,107.82
113.0,292.71,221.74,107.72
112.89,292.64,221.62,107.7
112.96,292.63,221.18,107.48
112.98,292.57,220.64,107.79
113.3,292.53,220.8,107.44
375.6,200.66,220.32,150.9
504.09,294.41,169.02,108.25
375.29,200.9,220.68,151.67
123.92,167.02,56.12,74.5
124.08,167.15,56.12,74.87
124.65,167.23,56.6,74.71
126.07,166.66,59.1,73.02
126.81,167.32,59.82,73.83
129.04,168.21,63.61,73.28
130.6,169.55,66.5,72.89
133.7,169.76,69.55,73.58
136.02,171.45,72.48,73.39
138.85,172.14,74.3,71.89
141.78,172.8,74.83,73.04
144.94,173.81,73.68,71.2
196.97,296.21,22.19,87.15
149.37,174.67,78.81,72.4
149.92,175.05,79.49,71.77
392.44,271.7,56.4,16.91
226.74,294.78,64.1,85.9
392.49,271.66,56.68,16.94
0.0,0.0,0.0,0.0
532.55,303.81,21.63,32.57
392.3,271.67,56.3,16.84
392.26,271.62,56.47,17.1
392.4,271.62,56.64,17.11
392.42,271.63,56.74,17.21
392.62,271.7,56.89,16.98
392.7,271.71,57.08,17.09
392.66,271.76,57.08,17.03
392.65,271.81,57.01,16.83
392.65,271.83,56.85,16.74
392.58,271.87,56.73,16.59
392.5,271.89,56.61,16.64
536.15,293.54,204.77,92.25
536.55,293.27,204.06,92.68
536.15,292.87,204.59,93.62
392.64,271.9,56.57,16.51
392.7,271.97,56.7,16.5
392.78,272.05,56.51,16.48
388.86,184.2,190.81,143.45
389.75,183.94,191.03,143.05
390.02,184.2,189.63,143.74
523.25,291.34,229.9,94.0
531.48,290.07,213.52,95.45
532.0,289.49,212.15,95.46
527.15,290.15,222.18,98.13
389.35,271.7,48.19,16.36
480.92,225.72,316.65,231.06
148.65,281.84,291.52,91.51
269.08,262.24,52.82,25.3
148.65,281.73,291.27,90.24
148.59,282.1,292.6,91.35
231.59,275.51,34.88,76.78
232.36,276.19,32.48,76.57
232.66,275.99,32.35,76.01
233.18,275.23,29.76,75.82
148.39,282.59,293.76,93.33
148.11,283.83,294.24,95.76
172.44,188.35,154.61,112.15
172.28,189.5,154.69,114.15
172.48,192.59,154.94,119.7
173.22,190.74,156.4,115.32
173.44,190.85,156.83,115.98
149.61,235.61,295.85,203.24
148.89,237.07,297.16,211.46
150.06,237.86,296.22,206.33
150.01,237.28,295.43,206.46
149.88,238.48,295.56,206.99
150.63,236.54,294.06,204.05
150.21,238.71,295.37,208.53
150.79,238.63,293.13,207.06
150.26,243.09,294.86,215.49
149.93,243.22,295.3,216.54
149.85,244.17,295.76,218.79
394.92,179.28,171.78,151.86
277.03,262.96,38.06,22.95
395.24,180.72,173.05,154.96
277.09,262.81,38.15,23.47
277.23,262.78,38.01,24.7
277.29,262.77,37.95,25.43
260.95,271.37,68.96,67.67
260.63,271.15,69.63,67.2
394.97,179.97,172.62,153.57
394.76,179.34,172.26,152.35
395.07,179.27,173.01,152.74
149.5,249.44,296.96,219.15
478.13,223.52,319.61,232.98
501.29,289.76,273.72,94.47
501.2,289.52,273.63,91.63
501.18,289.34,273.33,92.16
479.46,223.52,316.99,232.31
148.97,250.52,297.93,221.28
149.25,250.27,297.02,218.5
149.06,250.0,297.46,216.78
149.29,250.25,296.75,217.56
149.11,250.29,297.5,216.19
149.26,250.88,297.18,221.26
149.23,250.73,297.16,220.26
149.02,250.25,297.43,216.28
149.21,250.27,297.21,222.77
149.2,249.79,297.05,218.56
148.99,250.65,297.98,221.19
149.43,249.91,297.63,219.6
149.17,250.08,298.34,222.55
254.51,270.21,28.77,67.36
252.68,270.74,38.49,66.59
149.37,250.33,298.74,223.21
254.7,270.38,30.33,67.65
280.35,264.61,34.1,23.47
280.46,264.68,34.37,23.61
280.49,265.0,34.46,22.78
150.38,250.83,299.5,220.96
428.44,289.08,49.39,74.62
150.44,250.25,299.84,223.45
150.19,249.99,299.42,222.78
150.18,250.12,299.3,222.88
426.12,287.22,45.34,73.4
432.49,287.11,56.78,73.31
149.93,249.8,298.91,222.35
280.67,265.42,34.51,23.03
280.81,265.35,34.46,22.97
280.88,265.33,34.61,22.93
280.93,265.33,34.59,22.9
280.98,265.25,34.6,22.67
254.9,271.22,30.51,67.78
254.79,271.22,31.13,67.79
281.09,265.2,35.02,22.76
281.12,265.22,35.08,22.78
281.14,265.47,34.96,23.31
281.13,265.31,35.12,22.88
281.12,265.37,35.15,22.8
281.14,265.32,35.15,22.82
254.93,271.48,31.72,68.07
255.27,271.49,31.12,68.05
255.19,271.5,31.33,68.11
253.05,271.83,42.38,68.24
254.19,271.13,33.28,68.47
281.24,265.33,35.29,22.86
281.17,265.28,35.2,22.83
281.12,265.32,35.17,22.82
281.1,265.31,35.18,22.92
281.01,265.34,35.35,22.76
280.92,265.34,35.17,22.44
280.9,265.41,35.21,22.57
280.79,265.44,35.26,22.45
280.75,265.56,35.22,22.5
280.76,265.49,35.18,22.6
149.86,249.25,299.17,219.67
280.67,265.47,35.13,22.45
149.88,249.6,299.59,218.91
150.04,249.56,299.75,218.77
149.96,249.45,299.84,218.14
149.98,249.54,299.79,218.89
280.95,265.42,35.49,22.49
149.78,249.83,298.88,217.84
149.84,249.6,299.0,217.88
149.92,249.44,299.23,218.74
150.33,250.43,299.39,220.43
150.37,250.31,299.55,221.36
150.35,250.05,299.7,221.0
150.17,249.31,299.79,219.63
150.26,249.74,299.87,218.29
150.39,250.45,299.83,220.28
150.33,250.51,299.66,220.98
150.24,249.52,299.78,218.63
150.26,249.31,299.84,218.18
150.19,249.54,299.79,217.79
150.28,249.71,299.84,218.2
150.23,249.71,299.61,218.43
150.09,249.86,299.37,217.75
150.09,249.58,299.29,218.3
386.03,271.77,34.55,15.68
385.95,271.41,34.42,16.16
414.87,261.47,38.98,67.66
149.88,248.96,299.08,219.97
385.55,270.47,34.74,16.61
149.92,249.01,299.04,219.86
149.94,248.58,299.1,220.3
150.05,248.63,299.21,220.71
150.02,248.9,299.12,220.12
385.3,269.56,34.61,16.48
411.94,259.04,45.57,67.78
412.43,258.93,41.56,67.66
489.76,300.72,65.13,35.63
489.7,300.53,65.16,36.09
489.76,300.45,65.66,36.19
495.25,299.52,79.41,38.07
495.85,298.67,81.78,39.83
488.44,297.76,67.25,41.14
488.16,296.96,67.94,42.7
150.25,249.77,298.57,217.62
149.92,249.15,298.79,218.4
149.98,248.67,299.03,218.51
149.97,249.11,299.08,217.68
150.05,249.79,299.22,217.01
281.42,266.09,36.17,22.81
281.59,266.22,36.14,22.86
281.8,266.21,36.08,23.02
281.94,266.3,36.24,22.9
282.1,266.09,36.52,23.14
282.56,266.41,36.18,22.93
257.29,272.67,31.99,68.62
152.62,251.27,303.23,225.48
285.38,267.61,37.19,23.08
286.02,268.06,38.24,23.2
286.81,259.13,39.11,42.58
259.65,274.16,33.64,71.48
259.47,274.96,34.44,72.15
259.33,275.46,31.54,72.2
258.93,275.62,30.4,70.87
263.07,275.98,61.1,72.56
265.01,276.16,63.93,72.69
265.92,276.43,65.63,72.52
267.21,276.56,67.72,72.56
268.33,276.72,69.45,72.76
268.62,276.83,69.68,72.89
267.99,276.95,67.24,73.01
258.23,277.36,31.75,72.26
258.51,277.32,46.77,72.79
258.59,277.99,36.88,73.69
258.27,277.97,45.52,72.46
260.82,278.16,34.04,73.17
261.56,277.85,30.64,72.59
262.36,277.6,28.03,72.29
263.39,277.78,27.54,72.92
263.66,278.13,27.35,71.25
263.91,278.49,28.2,73.06
263.59,278.6,26.58,72.56
263.39,279.27,25.55,71.53
261.15,279.19,35.89,72.73
261.7,279.21,37.05,72.31
264.81,279.1,33.8,72.79
264.89,279.25,34.57,72.84
265.3,279.73,34.56,72.46
265.4,280.56,35.32,71.5
265.12,280.53,36.17,71.98
194.6,203.42,202.31,134.83
296.82,279.2,40.07,28.69
86.92,303.15,173.36,109.21
298.57,279.17,42.07,30.07
299.24,279.23,42.66,30.53
299.97,279.12,43.27,30.99
214.35,200.14,242.36,135.96
266.12,280.2,39.98,75.02
266.31,280.44,39.2,74.62
266.46,280.58,39.49,74.95
267.04,280.51,40.73,75.08
266.3,280.77,38.0,74.82
266.65,281.04,39.06,74.47
265.23,282.29,37.46,74.07
265.32,282.58,37.09,73.8
302.55,280.69,45.14,28.17
265.51,282.05,37.3,75.6
302.91,280.66,45.25,28.07
265.5,282.38,35.3,74.96
265.35,282.32,35.06,75.41
303.23,280.75,45.1,28.05
265.36,282.53,34.44,75.02
265.42,282.46,33.92,74.98
303.4,280.83,44.9,28.13
303.38,280.77,44.85,28.25
303.38,280.77,44.85,28.35
303.4,280.78,44.89,28.3
303.4,280.73,44.93,28.27
303.51,280.74,45.02,28.25
265.37,282.79,33.38,74.46
265.13,282.78,32.51,74.62
265.18,282.39,32.79,75.33
265.7,282.6,32.88,74.94
265.72,282.63,32.89,74.76
265.84,282.62,33.43,74.89
266.06,282.89,33.6,74.57
265.82,282.84,33.38,74.59
265.83,282.67,32.88,74.78
266.0,282.49,32.85,75.16
266.22,282.94,32.16,74.21
266.52,283.7,31.84,72.45
266.47,283.67,31.37,72.81
266.51,283.34,31.54,73.7
266.56,283.74,30.88,73.01
266.82,283.77,30.65,72.94
266.79,283.73,30.55,73.41
266.71,283.36,30.66,74.07
266.68,283.89,30.8,73.12
266.62,283.68,30.81,73.63
266.95,283.67,32.4,74.77
379.9,295.38,40.48,81.66
380.09,294.61,40.85,81.36
380.12,294.29,41.41,81.8
380.13,293.66,40.58,81.84
268.8,284.73,36.44,76.57
268.64,284.97,36.19,76.84
268.79,285.44,36.09,76.94
268.02,285.75,35.02,76.72
381.16,290.73,41.92,80.18
381.83,290.32,43.9,78.46
381.97,289.83,43.85,78.38
381.04,289.42,42.26,78.65
379.8,289.02,40.16,78.84
268.52,286.65,35.8,76.39
378.7,288.84,36.82,79.35
378.43,288.51,36.8,78.92
379.14,288.33,37.11,78.57
379.11,288.02,37.18,78.5
378.95,287.84,37.76,78.22
378.97,287.6,37.72,78.17
379.08,287.51,37.87,78.41
379.33,287.51,38.24,78.18
379.02,287.3,38.01,78.66
378.95,287.2,38.33,78.59
378.46,287.16,37.87,78.54
378.34,287.14,37.07,78.72
378.59,287.09,37.07,78.88
377.71,286.83,36.27,79.07
377.26,286.8,36.17,78.99
376.65,286.88,36.43,79.14
376.0,286.94,36.58,78.87
376.31,286.91,37.84,79.6
374.81,286.66,37.93,79.79
374.99,286.59,38.72,80.03
374.86,286.63,38.97,80.02
376.19,286.95,43.21,79.3
375.48,286.9,41.66,79.63
374.97,286.93,40.84,79.36
373.56,286.57,39.67,79.89
372.54,286.28,33.28,79.9
373.42,286.48,41.01,79.79
373.48,286.16,41.64,80.32
372.89,285.88,38.68,80.83
371.08,285.92,40.04,80.52
370.44,285.76,40.85,80.65
371.31,285.83,41.03,80.35
321.92,286.59,65.23,28.6
276.44,289.22,41.07,76.5
321.85,286.62,64.62,28.63
321.72,286.5,64.64,28.28
276.29,289.24,41.66,76.5
275.47,289.21,39.47,76.56
276.38,289.06,41.36,76.95
275.97,289.12,39.65,76.55
276.3,289.08,39.63,76.59
276.06,289.2,38.23,76.03
276.4,289.04,38.77,76.14
276.8,289.23,38.37,76.29
277.41,289.23,38.67,76.21
277.28,289.55,37.51,75.99
277.09,289.61,37.0,75.99
277.8,289.55,38.12,75.84
278.84,289.24,38.78,75.73
278.99,289.06,38.06,76.31
278.95,288.9,37.65,76.4
339.42,288.76,25.61,15.81
339.49,288.83,25.43,15.98
279.91,289.33,39.24,76.43
280.19,289.32,38.61,76.55
280.46,289.54,38.66,76.0
280.8,289.72,38.66,76.18
281.04,289.81,38.45,76.46
280.88,289.79,37.38,76.64
280.88,289.7,37.36,76.61
281.23,289.47,37.31,76.6
281.12,289.44,35.21,75.9
281.23,289.8,35.4,76.01
492.43,259.11,72.8,42.1
492.48,259.19,72.75,42.25
492.47,259.18,72.8,42.25
492.47,259.19,72.73,42.25
492.47,259.08,72.72,42.03
